stop_name,stop_id,stop_lat,stop_lon
Calle Santa Cruz del Valle,MM_A20_71,20.56188,-103.35467
Calle Santa Cruz del Valle,MM_A20_72,20.55874,-103.35423
Calle Santa Cruz del Valle,MM_A20_73,20.55553,-103.35389
Calle Santa Elena,MM_A06_45,20.60001,-103.34243
Calle Santa Filomena,MM_A10_65,20.59657,-103.33005
Calle Santa Gertrudis,MM_A08_11,20.5642,-103.34507
Calle Santa Gertrudis,MM_A08_94,20.56581,-103.34505
Calle Santa Gertrudis,MM_A08_95,20.56431,-103.34524
Calle Santa Inés,MM_A10_10,20.59744,-103.33012
Calle Santa Inés,MM_A10_11,20.59838,-103.33025
Calle Santa Inés,MM_A10_64,20.59768,-103.33029
Calle Santa Mónica,MM_C04_22,20.6854,-103.3495
Calle Santa Rosa,MM_A10_13,20.59869,-103.32883
Calle Santa Rosa,MM_A10_62,20.59884,-103.32879
Calle Santa Rosa,MM_A10_63,20.59864,-103.33014
Calle Santos Degollado,MM_A07_3,20.60283,-103.35124
Calle Santos Degollado,MM_A17_39,20.59855,-103.35031
Calle Tres Consejos,MM_A19_1,20.49003,-103.35575
Calle Valle de la Misericordia,MM_A08_98,20.5582,-103.33235
Calle Valle de los Robles,MM_A20_10,20.52437,-103.35887
Calle Valle de los Robles,MM_A20_9,20.52217,-103.35745
Calle Volcán Canatlan,MM_A16_51,20.73491,-103.3205
Calle Volcán Canatlan,MM_A16_52,20.73441,-103.31909
Calle Volcán Canatlan,MM_A16_53,20.73396,-103.318
Calle Volcán Colima,MM_A16_50,20.73403,-103.32091
Calle Volcán Fogo,MM_A16_58,20.73722,-103.31851
Calle Volcán Fogo,MM_A16_72,20.73742,-103.31854
Calle Volcán Malinche,MM_A16_66,20.73998,-103.31466
Calle Volcán Malinche,MM_A16_76,20.73463,-103.31674
Calle Volcán Malinche,MM_A16_77,20.73376,-103.31707
Calle Volcán Niebla,MM_A16_48,20.73181,-103.32225
Calle Volcán San Francisco,MM_A16_78,20.73262,-103.31752
Calle Volcán San Francisco,MM_A16_79,20.73199,-103.3164
Calle Volcán San Francisco,MM_A16_8,20.73208,-103.31634
Calle Volcán San Francisco,MM_A16_80,20.73159,-103.31414
Calle Volcán San Francisco,MM_A16_9,20.73253,-103.31744
Calle Volcán Tolimán,MM_A16_55,20.73573,-103.31715
Calle Volcán Villarrica,MM_A16_10,20.73337,-103.31936
Calle Volcán Villarrica,MM_A16_67,20.74068,-103.31618
Calz. Virgen de la Candelaria,MM_T19C07_141,20.55569,-103.45251
Calzada Federalismo,MM_C117_57,20.73122,-103.35312
Calzada Federalismo,MM_C117_76,20.73138,-103.3521
Calzada Federalismo,MM_T15C02_22,20.73171,-103.35297
Calzada Federalismo,mxc_C117_STP_76,20.73138,-103.3521
Calzada Gobernador Luis G.Curiel,MM_A06_30,20.61034,-103.34067
Calzada Gobernador Luis G.Curiel,MM_A06_35,20.61028,-103.34098
Calzada Gobernador Luis G.Curiel,MM_A06_36,20.60946,-103.34076
Calzada Gobernador Luis G.Curiel,MM_A07_19,20.61537,-103.34293
Calzada Gobernador Luis G.Curiel,MM_A07_20,20.61322,-103.34199
Calzada Gobernador Luis G.Curiel,MM_A13_25,20.62307,-103.34716
Calzada Independencia Norte,MM_A05_14,20.72238,-103.31643
Calzada Independencia Norte,MM_A16_30,20.72257,-103.31706
Calzada Independencia Norte,MM_C117_67,20.72093,-103.31622
Calzada Independencia Norte,MM_T19C05_105,20.72105,-103.31836
Calzada Independencia Norte,mxc_C117_STP_65,20.72105,-103.31841
Calzada Independencia Norte,mxc_C117_STP_67,20.72093,-103.31622
Calzada José Guadalupe Gallo,MM_C123V1_86,20.60491,-103.43317
Calzada Juan Pablo II,MM_C108V1_30,20.69177,-103.31002
Calzada Juan Pablo II,MM_C123V1_20,20.69098,-103.31338
Calzada Juan Pablo II,MM_C123V1_22,20.68857,-103.3194
Calzada Juan Pablo II,MM_C27_102,20.70334,-103.28311
Calzada Juan Pablo II,mxc_C27_STP_102,20.70334,-103.28311
Camichines,MM_C100_37,20.60079,-103.39464
Camichines,MM_C27_41,20.71244,-103.28831
Camichines,mxc_C27_STP_41,20.71244,-103.28831
Camino,mxc_C38V2_STP_01,20.5671,-103.22594
Camino,mxc_C98_STP_105,20.56808,-103.22745
Camino A Matatlán,MM_C27_19,20.66823,-103.23447
Camino A San Sebastian,MM_C128_137,20.54328,-103.43874
Camino Al Panteón,MM_C113V1_40,20.57802,-103.36292
Camino Real,MM_C07V2_07,20.67535,-103.23773
Camino Real A Agua Amarilla,MM_A19_81,20.57327,-103.36412
Camino Real a Agua Amarilla,MM_A18_7,20.56908,-103.37398
Camino Viejo,MM_A05_18,20.72203,-103.30839
Camino Viejo,MM_A05_9,20.72213,-103.30817
Camino Viejo a Tesistan,MM_C135_86,20.75603,-103.4354
Camino Viejo a Tonala,MM_C58V1_14,20.61275,-103.28261
Camino a Copalita,ST_04_023,20.802221,-103.45743
Camino a Copalita,ST_04_053,20.802153,-103.45774
Camino a La Pedrera,MM_C09_09,20.53002,-103.46899
Camino a La Pedrera,MM_C09_63,20.52983,-103.46916
Camino a Lomas de Tejada,MM_T14C01_31,20.50807,-103.3936
Camino a Matatlán,mxc_C07V2_STP_01,20.66956,-103.22401
